country,HDI,GII,MMR,ABR,PRf,SEf,SEm,LFPRf,LFPRm
Georgia,0.744,NA,67,46.8,12.0,NA,NA,56.2,74.7
Grenada,0.744,NA,24,35.4,25.0,NA,NA,NA,NA
Peru,0.737,0.387,67,50.7,21.5,56.3,66.1,68.0,84.4
Ukraine,0.734,0.326,32,25.7,9.4,91.5,96.1,53.0,66.6
Belize,0.732,0.435,53,71.4,13.3,35.2,32.8,49.1,82.3
The former Yugoslav Republic of Macedonia,0.732,0.162,10,18.3,34.1,40.2,55.6,42.9,67.3
Bosnia and Herzegovina,0.731,0.201,8,15.1,19.3,44.8,70.0,34.1,57.2
Armenia,0.730,0.325,30,27.1,10.7,94.1,94.8,51.6,73.4
Fiji,0.724,NA,26,42.8,NA,57.5,58.1,37.5,72.0
Thailand,0.722,0.364,48,41.0,15.7,35.7,40.8,64.4,80.8
Tunisia,0.721,0.265,56,4.6,26.7,32.8,46.1,25.1,70.6
China,0.719,0.202,37,8.6,23.4,58.7,71.9,63.8,78.1
Saint Vincent and the Grenadines,0.719,NA,48,54.5,13.0,NA,NA,55.7,78.2
Algeria,0.717,0.425,97,10.0,25.8,20.9,27.3,15.0,71.9
Dominica,0.717,NA,NA,NA,12.5,29.7,23.2,NA,NA
Albania,0.716,0.245,27,15.3,17.9,81.8,87.9,45.0,65.4
Jamaica,0.715,0.457,110,70.1,15.5,74.0,71.1,56.1,71.0
Saint Lucia,0.714,NA,35,56.3,17.2,NA,NA,62.6,76.0
Colombia,0.711,0.460,92,68.5,13.6,56.9,55.6,55.7,79.7
Ecuador,0.711,0.429,110,77.0,38.7,40.1,39.4,54.4,82.6
Suriname,0.705,0.463,130,35.2,11.8,44.6,47.1,40.4,68.8
Tonga,0.705,0.458,110,18.1,3.6,87.5,88.3,53.5,74.8
Dominican Republic,0.700,0.505,150,99.6,19.1,55.6,53.1,51.2,78.7
Maldives,0.698,0.283,60,4.2,6.5,13.3,16.6,55.9,77.1
Mongolia,0.698,0.320,63,18.7,14.9,85.3,84.1,56.1,68.8
Turkmenistan,0.698,NA,67,18.0,16.8,NA,NA,46.7,76.5
Samoa,0.694,0.517,100,28.3,4.1,64.3,60.0,23.4,58.4
"Palestine, State of",0.686,NA,64,45.8,NA,31.5,32.2,15.2,66.3
Indonesia,0.684,0.500,220,48.3,18.6,39.9,49.2,51.3,84.4
Botswana,0.683,0.486,160,44.2,7.9,73.6,77.3,71.8,81.5
Egypt,0.682,0.580,66,43.0,2.8,43.4,59.3,23.6,74.6
Paraguay,0.676,0.457,99,67.0,18.4,36.8,40.8,55.4,84.8
Gabon,0.674,0.508,230,103.0,16.7,53.8,34.7,56.0,65.1
Bolivia (Plurinational State of),0.667,0.472,190,71.9,30.1,47.6,59.1,64.1,80.9
Moldova (Republic of),0.663,0.302,41,29.3,19.8,93.6,96.6,37.0,43.3
El Salvador,0.662,0.441,81,76.0,26.2,36.8,43.6,47.6,79.0
Uzbekistan,0.661,NA,28,38.8,19.2,NA,NA,47.9,75.2
Philippines,0.660,0.406,99,46.8,26.9,65.9,63.8,51.0,79.7
South Africa,0.658,0.461,300,50.9,41.1,72.7,75.9,44.2,60.0
Syrian Arab Republic,0.658,0.556,70,41.6,12.0,29.0,38.9,13.4,72.7
Iraq,0.642,0.542,63,68.7,25.2,22.0,42.7,14.7,69.7
Guyana,0.638,0.524,280,88.5,31.3,61.5,48.8,42.3,80.9
